case_index,fan_electrical_external,fan_electrical_internal,fan_mechanical_external,fan_mechanical_internal,capacitor,igbt_deltaT,igbt_arrhenius,pcb
125,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,2.863842349913704e-25,0.000000000000000e+00
126,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,2.933576496271186e-25,0.000000000000000e+00
127,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.003464400356038e-25,0.000000000000000e+00
128,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.120955988648870e-25,0.000000000000000e+00
129,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.441975456485246e-25,0.000000000000000e+00
130,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,4.083793258654671e-25,0.000000000000000e+00
131,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,4.860279927237919e-25,0.000000000000000e+00
132,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,5.403262512037038e-25,0.000000000000000e+00
133,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,5.871240824196010e-25,0.000000000000000e+00
134,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,6.402236378567580e-25,0.000000000000000e+00
135,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,6.947277940765368e-25,0.000000000000000e+00
136,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,7.498140454734715e-25,0.000000000000000e+00
137,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,8.207137796938042e-25,0.000000000000000e+00
138,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,9.636713788646508e-25,0.000000000000000e+00
139,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.180923015822185e-24,0.000000000000000e+00
140,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.489658479357160e-24,0.000000000000000e+00
141,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.868777596251916e-24,0.000000000000000e+00
142,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,2.407670524775583e-24,0.000000000000000e+00
143,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.158175279355578e-24,0.000000000000000e+00
144,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,4.162680881654279e-24,0.000000000000000e+00
145,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,5.342894671150742e-24,0.000000000000000e+00
146,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,6.633663203100645e-24,0.000000000000000e+00
147,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,7.883333121421193e-24,0.000000000000000e+00
148,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,9.070680597032127e-24,0.000000000000000e+00
149,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.006550800320318e-23,0.000000000000000e+00
150,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.124243515198559e-23,0.000000000000000e+00
